alias	provider	dataset	series	description
bls.cpi	BLS	cu	CUSR0000SA0	US CPI All Urban Consumers All Items Monthly
bls.jolts	BLS	jt	JTS000000000000000JOL	US JOLTS Job Openings Total Nonfarm Monthly
bls.payrolls	BLS	ce	CES0000000001	US Total Nonfarm Payrolls Monthly
bls.ppi	BLS	wp	WPUFD49504	US PPI Final Demand Monthly
bls.unemployment	BLS	ln	LNS14000000	US Unemployment Rate Monthly
fed.10y	FED	H15	RIFLGFCY10_N.M	US 10-Year Treasury Yield Monthly
fed.2y	FED	H15	RIFLGFCY02_N.M	US 2-Year Treasury Yield Monthly
fed.30y	FED	H15	RIFLGFCY30_N.M	US 30-Year Treasury Yield Monthly
fed.3m	FED	H15	RIFLGFCM03_N.M	US 3-Month Treasury Yield Monthly
fed.5y	FED	H15	RIFLGFCY05_N.M	US 5-Year Treasury Yield Monthly
wb.gold	WB	commodity_prices	FGOLD-1W	Gold Price Annual
wb.oil	WB	commodity_prices	FCRUDE_PETRO-1W	Crude Oil Price Annual
wb.copper	WB	commodity_prices	FCOPPER-1W	Copper Price Annual
wb.aluminum	WB	commodity_prices	FALUMINUM-1W	Aluminum Price Annual
wb.silver	WB	commodity_prices	FSILVER-1W	Silver Price Annual
