code	bis_pair	name
aud	AU.AUD	Australian Dollar
cad	CA.CAD	Canadian Dollar
chf	CH.CHF	Swiss Franc
cny	CN.CNY	Chinese Yuan
eur	DE.EUR	Euro
gbp	GB.GBP	British Pound
hkd	HK.HKD	Hong Kong Dollar
inr	IN.INR	Indian Rupee
jpy	JP.JPY	Japanese Yen
krw	KR.KRW	Korean Won
mxn	MX.MXN	Mexican Peso
myr	MY.MYR	Malaysian Ringgit
nok	NO.NOK	Norwegian Krone
nzd	NZ.NZD	New Zealand Dollar
php	PH.PHP	Philippine Peso
rub	RU.RUB	Russian Ruble
sek	SE.SEK	Swedish Krona
sgd	SG.SGD	Singapore Dollar
thb	TH.THB	Thai Baht
try	TR.TRY	Turkish Lira
twd	TW.TWD	Taiwan Dollar
usd	US.USD	US Dollar
zar	ZA.ZAR	South African Rand
