provider_code	provider_name	dataset_code	dataset_name	nb_series
ACOSS	Agence centrale des organismes de sécurité sociale	ACOSS_STAT_QUARTERLY_PAYROLL_EMPLOYMENT	Quarterly private sector payroll and workforce	234
ACOSS	Agence centrale des organismes de sécurité sociale	ECONOMIC_BAROMETER	Economic Barometer	28
AFDB	African Development Group	bbkawjf	AFDB Socio Economic Database	76180
AIH	Africa Information Highway	GGO_BENIN	General Government Operations (GGO)	52
AIH	Africa Information Highway	GGO_ETHIOPIA	General Government Operations (GGO)	396
AIH	Africa Information Highway	GGO_IVORY_COAST	General Government Operations (GGO)	141
AIH	Africa Information Highway	GGO_KENYA	General Government Operations (GGO)	58
AIH	Africa Information Highway	GGO_NIGERIA	General Government Operations (GGO)	50
AIH	Africa Information Highway	GGO_SENEGAL	General Government Operations (GGO)	210
AIH	Africa Information Highway	NA_BENIN	National Accounts (GDP)	78
AIH	Africa Information Highway	NA_ETHIOPIA	National Accounts (GDP)	71
AIH	Africa Information Highway	NA_IVORY_COAST	National Accounts (GDP)	25
AIH	Africa Information Highway	NA_KENYA	National Accounts (GDP)	42
AIH	Africa Information Highway	NA_NIGERIA	National Accounts (GDP)	94
AIH	Africa Information Highway	NA_SENEGAL	National Accounts (GDP)	29
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	AAGT	Average share of imports and exports of goods in world trade including intra EU trade :- Foreign trade statistics	52
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	ADGGI	Snowball effect on gross public debt, % EDP GDP :- Excessive deficit procedure (based on ESA 2010)	41
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	ADGGU	Impact of nominal GDP change on gross public debt, % EDP GDP :- Excessive deficit procedure (based on ESA 2010)	43
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	AKGDV	Marginal efficiency of capital: total economy (Change in GDP at constant market prices of year T per unit of gross fixed capital formation at constant prices of year T-.5.)	52
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	AKNDV	Net capital stock per unit of gross domestic product at constant prices :- Capital output ratio: total economy	47
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	ALCD0	Adjusted wage share: total economy: as percentage of GDP at current prices (Compensation per employee as percentage of GDP at market prices per person employed.)	52
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	ALCD2	Adjusted wage share: total economy: as percentage of GDP at current factor cost (Compensation per employee as percentage of GDP at factor cost per person employed.)	52
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	ALCM	Adjusted wage share: manufacturing industry (Compensation per employee as percentage of nominal gross value added per person employed.)	43
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	AMGT	Share of imports of goods in world imports including intra EU imports :- Foreign trade statistics	52
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	APGN	Terms of trade goods (National accounts)	42
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	APGS	Terms of trade goods and services (National accounts)	43
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	APNDK	Net returns on net capital stock: total economy	44
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	APSN	Terms of trade services (National accounts)	42
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	APTA	Impact of terms of trade goods and services on real income	52
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	ASGH	Saving rate, gross: households and NPISH (Gross saving as percentage of gross disposable income)	39
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	ASNH	Saving rate, net: households and NPISH (Net saving as percentage of net disposable income)	38
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	AVGDGP	Gap between actual and potential gross domestic product at 2020 reference levels	38
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	AVGDGT	Gap between actual and trend gross domestic product at 2020 reference levels	38
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	AVGDK	Gross domestic product at 2020 reference levels per unit of net capital stock :- Capital productivity	47
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	AXGT	Share of exports of goods in world exports including intra EU exports :- Foreign trade statistics	52
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	AYIGD	Implicit interest rate: general government :- Interest as percent of gross public debt of preceding year Excessive deficit procedure (based on ESA 2010)	41
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	CVGD0	Contribution to the increase of GDP at constant prices of private consumption	52
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	CVGD1	Contribution to the increase of GDP at constant prices of public consumption	52
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	CVGD10	Contribution to the increase of GDP at constant prices of total consumption	52
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	CVGD2	Contribution to the increase of GDP at constant prices of gross fixed capital formation	52
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	CVGD3	Contribution to the increase of GDP at constant prices of domestic demand excluding stocks	52
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	CVGD4	Contribution to the increase of GDP at constant prices of changes in inventories and acquisitions less disposals of valuables	52
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	CVGD5	Contribution to the increase of GDP at constant prices of domestic demand including stocks	52
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	CVGD6	Contribution to the increase of GDP at constant prices of exports of goods and services :- including intra-EU trade	52
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	CVGD7	Contribution to the increase of GDP at constant prices of final demand :- including intra-EU trade	52
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	CVGD8	Contribution to the increase of GDP at constant prices of imports of goods and services :- including intra-EU trade	52
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	CVGD9	Contribution to the increase of GDP at constant prices of the balance of goods and services	52
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	DMGE	Extra EU imports of goods :- Foreign trade statistics (1960-1998 Former EU-15)	34
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	DMGI	Intra EU imports of goods :- Foreign trade statistics (1960-1998 Former EU-15)	34
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	DMGT	Total imports of goods :- Foreign trade statistics	52
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	DXGE	Extra EU exports of goods :- Foreign trade statistics (1960-1998 Former EU-15)	34
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	DXGI	Intra EU exports of goods :- Foreign trade statistics (1960-1998 Former EU-15)	34
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	DXGT	Total exports of goods :- Foreign trade statistics	52
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	FET1	Employment, full-time equivalents: agriculture, forestry and fishery products (National accounts)	4
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	FET2	Employment, full-time equivalents: industry excluding building and construction (National accounts)	4
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	FET4	Employment, full-time equivalents: building and construction (National accounts)	4
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	FET5	Employment, full-time equivalents: services (National accounts)	4
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	FETD	Employment, full-time equivalents: total economy (National accounts)	4
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	FETM	Employment, full-time equivalents: manufacturing industry (National accounts)	4
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	FWT1	Employees, full-time equivalents: agriculture, forestry and fishery products (National accounts)	4
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	FWT2	Employees, full-time equivalents: industry excluding building and construction (National accounts)	4
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	FWT4	Employees, full-time equivalents: building and construction (National accounts)	4
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	FWT5	Employees, full-time equivalents: services (National accounts)	4
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	FWTD	Employees, full-time equivalents: total economy (National accounts)	4
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	FWTM	Employees, full-time equivalents: manufacturing industry (National accounts)	4
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	HCPHP	Private final consumption expenditure at current prices per head of population	346
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	HVG1E	Gross value added at current prices per person employed: agriculture, forestry and fishery products	49
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	HVG2E	Gross value added at current prices per person employed: industry excluding building and construction	49
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	HVG4E	Gross value added at current prices per person employed: building and construction	47
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	HVG5E	Gross value added at current prices per person employed: services	49
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	HVGDE	Gross domestic product at current prices per person employed	358
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	HVGDH	Gross domestic product at current prices per hour worked	121
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	HVGDP	Gross domestic product at current prices per head of population	346
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	HVGME	Gross value added at current prices per person employed: manufacturing industry	47
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	HVGMW	Gross value added at current prices per employee: manufacturing industry	102
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	HVGNP	Gross national income at current prices per head of population	346
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	HVGTP	Gross national disposable income per head of population	346
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	HWC1W	Nominal compensation per employee: agriculture, forestry and fishery products	86
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	HWC2W	Nominal compensation per employee: industry excluding building and construction	86
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	HWC4W	Nominal compensation per employee: building and construction	86
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	HWC5W	Nominal compensation per employee: services	86
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	HWCDW	Nominal compensation per employee: total economy	120
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	HWCDWQ	Nominal compensation per employee: total economy: Relative performance: double export weights :- Performance relative to the rest of the former EU-15: double export weights	15
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	HWCDWQ-1	Nominal compensation per employee: total economy: Relative performance: double export weights :- Performance relative to the rest of 24 industrial countries: double export weights : EU-15, TR CH NR US CA JP AU MX and NZ	24
AMECO	Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs	HWCDWQ-2	Nominal compensation per employee: total economy: Relative performance: double export weights :- Performance relative to  12 industrial countries (DK SE UK TR CH NO US CA MX JP AU NZ)	1
